TIMESTAMP	NUMTWEETS
1350600600	11100
1350600900	11162
1350601200	11545
1350601500	11099
1350601800	11011
1350602100	10992
1350602400	11396
1350602700	10969
1350603000	11399
1350603300	11786
1350603600	11135
1350603900	11329
1350604200	11104
1350604500	10974
1350604800	11534
1350605100	11257
1350605400	11222
1350605700	11094
1350606000	11582
1350606300	11720
1350606600	11594
1350606900	11352
1350607200	11545
1350607500	11633
1350607800	11453
1350608100	11421
1350608400	11942
1350608700	11612
1350609000	11708
1350609300	11709
1350609600	12012
1350609900	11846
1350610200	12214
1350610500	12488
1350610800	12242
1350611100	12250
1350611400	11990
1350611700	12504
1350612000	12490
1350612300	11388
1350612600	11414
1350612900	11316
1350613200	11962
1350613500	11917
1350613800	12106
1350614100	11807
1350614400	11641
1350614700	11670
1350615000	11375
1350615300	11552
1350615600	11998
1350615900	11198
1350616200	11140
1350616500	11258
1350616800	11033
1350617100	11078
1350617400	11128
1350617700	10511
1350618000	10580
1350618300	10316
1350618600	10048
1350618900	9715
1350619200	10085
1350619500	9494
1350619800	9162
1350620100	8975
1350620400	8869
1350620700	8850
1350621000	8758
1350621300	8582
1350621600	8277
1350621900	8200
1350622200	8002
1350622500	7974
1350622800	8007
1350623100	7856
1350623400	7803
1350623700	7682
1350624000	7756
1350624300	7530
1350624600	7591
1350624900	7483
1350625200	7576
1350625500	7204
1350625800	7271
1350626100	7228
1350626400	7530
1350626700	6835
1350627000	7144
1350627300	6778
1350627600	7016
1350627900	6797
1350628200	6831
1350628500	6680
1350628800	6719
1350629100	6596
1350629400	6660
1350629700	6442
1350630000	6974
1350630300	6433
1350630600	6563
1350630900	6618
1350631200	6699
1350631500	6600
1350631800	6587
1350632100	6622
1350632400	6418
1350632700	6385
1350633000	6348
1350633300	6283
1350633600	6735
1350633900	6377
1350634200	6420
1350634500	6489
1350634800	6647
1350635100	6661
1350635400	6641
1350635700	6657
1350636000	6493
1350636300	6608
1350636600	6594
1350636900	6572
1350637200	7074
1350637500	6864
1350637800	6741
1350638100	6977
1350638400	7299
1350638700	7253
1350639000	7334
1350639300	7595
1350639600	7370
1350639900	7409
1350640200	7478
1350640500	7672
1350640800	8233
1350641100	7906
1350641400	7990
1350641700	7818
1350642000	8296
1350642300	8249
1350642600	8625
1350642900	8765
1350643200	8778
1350643500	8785
1350643800	8794
1350644100	9043
1350644400	10082
1350644700	9829
1350645000	9654
1350645300	9894
1350645600	9863
1350645900	10384
1350646200	10349
1350646500	10775
1350646800	10206
1350647100	10282
1350647400	10347
1350647700	10708
1350648000	11388
1350648300	10745
1350648600	10877
1350648900	11239
1350649200	11214
1350649500	11281
1350649800	11617
1350650100	11968
1350650400	11800
1350650700	11972
1350651000	11760
1350651300	12127
1350651600	12398
1350651900	12249
1350652200	12142
1350652500	12135
1350652800	12376
1350653100	12624
1350653400	12872
1350653700	12802
1350654000	12870
1350654300	12761
1350654600	12981
1350654900	13016
1350655200	13702
1350655500	13223
1350655800	13082
1350656100	13164
1350656400	13297
1350656700	13168
1350657000	13117
1350657300	13241
1350657600	13045
1350657900	13033
1350658200	12960
1350658500	13033
1350658800	14103
1350659100	13071
1350659400	12966
1350659700	13023
1350660000	12906
1350660300	13157
1350660600	13549
1350660900	13082
1350661200	12695
1350661500	12886
1350661800	12754
1350662100	12387
1350662400	12758
1350662700	12280
1350663000	12120
1350663300	11845
1350663600	11690
1350663900	11813
1350664200	11575
1350664500	11310
1350664800	11351
1350665100	11258
1350665400	11155
1350665700	11133
1350666000	11562
1350666300	10911
1350666600	11104
1350666900	11735
1350667200	11579
1350667500	10968
1350667800	10696
1350668100	10679
1350668400	10349
1350668700	10149
1350669000	10154
1350669300	9934
1350669600	10305
1350669900	9845
1350670200	9923
1350670500	9727
1350670800	9836
1350671100	10109
1350671400	10379
1350671700	10313
1350672000	9970
1350672300	10016
1350672600	9880
1350672900	9991
1350673200	10034
1350673500	9873
1350673800	9755
1350674100	9729
1350674400	9769
1350674700	9786
1350675000	9838
1350675300	9855
1350675600	9542
1350675900	9760
1350676200	9940
1350676500	9575
1350676800	10168
1350677100	9976
1350677400	9738
1350677700	9806
1350678000	10235
1350678300	10241
1350678600	10391
1350678900	10105
1350679200	10260
1350679500	10408
1350679800	10130
1350680100	10079
1350680400	10086
1350680700	9956
1350681000	10157
1350681300	10100
1350681600	10118
1350681900	10345
1350682200	10238
1350682500	10472
1350682800	10401
1350683100	10198
1350683400	10093
1350683700	10354
1350684000	11137
1350684300	10365
1350684600	10321
1350684900	10396
1350685200	10333
1350685500	10479
1350685800	10722
1350686100	10523
1350686400	10542
1350686700	10417
1350687000	10335
1350687300	10534
1350687600	11236
1350687900	10537
1350688200	10540
1350688500	10271
1350688800	10593
1350689100	10357
1350689400	10637
1350689700	10533
1350690000	10188
1350690300	10222
1350690600	10290
1350690900	10220
1350691200	10908
1350691500	10359
1350691800	11326
1350692100	10602
1350692400	10446
1350692700	11294
1350693000	11283
1350693300	10558
1350693600	10804
1350693900	10924
1350694200	10750
1350694500	10495
1350694800	10912
1350695100	10617
1350695400	10892
1350695700	11056
1350696000	10935
1350696300	10662
1350696600	11332
1350696900	11438
1350697200	11107
1350697500	11120
1350697800	11483
1350698100	13014
1350698400	11672
1350698700	11138
1350699000	10945
1350699300	10886
1350699600	11084
1350699900	11024
1350700200	11180
1350700500	11050
1350700800	11080
1350701100	10795
1350701400	10834
1350701700	10996
1350702000	11594
1350702300	11118
1350702600	10960
1350702900	10617
1350703200	11006
1350703500	11082
1350703800	10874
1350704100	10781
1350704400	10485
1350704700	10284
1350705000	10249
1350705300	10334
1350705600	10358
1350705900	10123
1350706200	10001
1350706500	9954
1350706800	10100
1350707100	9720
1350707400	9691
1350707700	9569
1350708000	9228
1350708300	9029
1350708600	8767
1350708900	8866
1350709200	9178
1350709500	8731
1350709800	8471
1350710100	8150
1350710400	8392
1350710700	8243
1350711000	8338
1350711300	8112
1350711600	7762
1350711900	7500
1350712200	7556
1350712500	6244
1350712800	6383
1350713100	7506
1350713400	7352
1350713700	7174
1350714000	7289
1350714300	4926
1350714600	6436
1350714900	7311
1350715200	7202
1350715500	7010
1350715800	6946
1350716100	6803
1350716400	7411
1350716700	6795
1350717000	5939
1350717300	6886
1350717600	5365
1350717900	7042
1350718200	6979
1350718500	6936
1350718800	6936
1350719100	6711
1350719400	6942
1350719700	6835
1350720000	7261
1350720300	6992
1350720600	6782
1350720900	6939
1350721200	7101
1350721500	7122
1350721800	7322
1350722100	7211
1350722400	7014
1350722700	7159
1350723000	7260
1350723300	7197
1350723600	7669
1350723900	7178
1350724200	7363
1350724500	7265
1350724800	7342
1350725100	7298
1350725400	7488
1350725700	7933
1350726000	7671
1350726300	7710
1350726600	7584
1350726900	7831
1350727200	8435
1350727500	7930
1350727800	7817
1350728100	7855
1350728400	7876
1350728700	8080
1350729000	8725
1350729300	8608
1350729600	8326
1350729900	8504
1350730200	8532
1350730500	8537
1350730800	9169
1350731100	8929
1350731400	8992
1350731700	9030
1350732000	9230
1350732300	9365
1350732600	9764
1350732900	9867
1350733200	9743
1350733500	9890
1350733800	10070
1350734100	10067
1350734400	11145
1350734700	10480
1350735000	10550
1350735300	10519
1350735600	10835
1350735900	10897
1350736200	11036
1350736500	11147
1350736800	11113
1350737100	10847
1350737400	11294
1350737700	11746
1350738000	12365
1350738300	12263
1350738600	12750
1350738900	12244
1350739200	12345
1350739500	12220
1350739800	12817
1350740100	13743
1350740400	13400
1350740700	12917
1350741000	12701
1350741300	13343
1350741600	14070
1350741900	13503
1350742200	13796
1350742500	13545
1350742800	13606
1350743100	13972
1350743400	13711
1350743700	13803
1350744000	13775
1350744300	14008
1350744600	13689
1350744900	13476
1350745200	15147
1350745500	14146
1350745800	13857
1350746100	13933
1350746400	14247
1350746700	13990
1350747000	14181
1350747300	14262
1350747600	14157
1350747900	14017
1350748200	14252
1350748500	14066
1350748800	14087
1350749100	13479
1350749400	13628
1350749700	13481
1350750000	13384
1350750300	13141
1350750600	13001
1350750900	12570
1350751200	12669
1350751500	12647
1350751800	12285
1350752100	12155
1350752400	12527
1350752700	11869
1350753000	11698
1350753300	11602
1350753600	11622
1350753900	11623
1350754200	11460
1350754500	11680
1350754800	11253
1350755100	11181
1350755400	11392
1350755700	11248
1350756000	11157
1350756300	10873
1350756600	10956
1350756900	10658
1350757200	10943
1350757500	10675
1350757800	10488
1350758100	10533
1350758400	10335
1350758700	10185
1350759000	10062
1350759300	10044
1350759600	10456
1350759900	10072
1350760200	10015
1350760500	10256
1350760800	10275
1350761100	10205
1350761400	10354
1350761700	10133
1350762000	10041
1350762300	10303
1350762600	10397
1350762900	10181
1350763200	10468
1350763500	10078
1350763800	9950
1350764100	10568
1350764400	10077
1350764700	10120
1350765000	10216
1350765300	10605
1350765600	10777
1350765900	10443
1350766200	10353
1350766500	10231
1350766800	10739
1350767100	10053
1350767400	10095
1350767700	9853
1350768000	9938
1350768300	9744
1350768600	10702
1350768900	10091
1350769200	9834
1350769500	10103
1350769800	10041
1350770100	9874
1350770400	10830
1350770700	10115
1350771000	10356
1350771300	10008
1350771600	10098
1350771900	9843
1350772200	9997
1350772500	10070
1350772800	10172
1350773100	9980
1350773400	10102
1350773700	10127
1350774000	10674
1350774300	10576
1350774600	10340
1350774900	10110
1350775200	10390
1350775500	10372
1350775800	10554
1350776100	10747
1350776400	10290
1350776700	10445
1350777000	10530
1350777300	10522
1350777600	10890
1350777900	10439
1350778200	10442
1350778500	10135
1350778800	10430
1350779100	10313
1350779400	10347
1350779700	10251
1350780000	10455
1350780300	10228
1350780600	10397
1350780900	10485
1350781200	10793
1350781500	10749
1350781800	10593
1350782100	10657
1350782400	10854
1350782700	10733
1350783000	10794
1350783300	10909
1350783600	10854
1350783900	10821
1350784200	11040
1350784500	10711
1350784800	11337
1350785100	10933
1350785400	11020
1350785700	10944
1350786000	11048
1350786300	11074
1350786600	11514
1350786900	11444
1350787200	10843
1350787500	11179
1350787800	11444
1350788100	11310
1350788400	12320
1350788700	11641
1350789000	11581
1350789300	11143
1350789600	11340
1350789900	11362
1350790200	11369
1350790500	11158
1350790800	11256
1350791100	11114
1350791400	10993
1350791700	11030
1350792000	11125
1350792300	10859
1350792600	10913
1350792900	10495
1350793200	10587
1350793500	10687
1350793800	10419
1350794100	10308
1350794400	10008
1350794700	9685
1350795000	9668
1350795300	9682
1350795600	9937
1350795900	9647
1350796200	9270
1350796500	9174
1350796800	9165
1350797100	9186
1350797400	9045
1350797700	8757
1350798000	8566
1350798300	8610
1350798600	8536
1350798900	8445
1350799200	8734
1350799500	8366
1350799800	8158
1350800100	7940
1350800400	8156
1350800700	7971
1350801000	8021
1350801300	7961
1350801600	7892
1350801900	7836
1350802200	7873
1350802500	7728
1350802800	8189
1350803100	7762
1350803400	7311
1350803700	6457
1350804000	7535
1350804300	7538
1350804600	7500
1350804900	7578
1350805200	7254
1350805500	7324
1350805800	7341
1350806100	7280
1350806400	7987
1350806700	7510
1350807000	7522
1350807300	7567
1350807600	7669
1350807900	7872
1350808200	7754
